Name,Price,P-value,status
BINANCE:BTCUSDT,61439.99,0,good to buy
BINANCE:BTCUSDT,61440,-0.000016276041669982533,good to buy
BINANCE:BTCUSDT,61440,0.000016276044319078285,good to buy
BINANCE:BTCUSDT,61439.99,0,good to buy
BINANCE:BTCUSDT,61440,-0.000016276041669982533,good to buy
BINANCE:BTCUSDT,61439.99,0.000016276044319078285,good to buy
BINANCE:BTCUSDT,61439.99,-0.000016276041669982533,good to buy
BINANCE:BTCUSDT,61440,0,good to buy
BINANCE:BTCUSDT,61439.99,0.000016276044319078285,good to buy
BINANCE:BTCUSDT,61440,-0.000016276041669982533,good to buy
BINANCE:BTCUSDT,61439.99,0.000016276044319078285,good to buy
BINANCE:BTCUSDT,61439.99,-0.000016276041669982533,good to buy
BINANCE:BTCUSDT,61440,0,good to buy
BINANCE:BTCUSDT,61439.99,0.000016276044319078285,good to buy
BINANCE:BTCUSDT,61439.99,-0.000016276041669982533,good to buy
BINANCE:BTCUSDT,61439.99,0,good to buy
BINANCE:BTCUSDT,61439.19,0,good to buy
BINANCE:BTCUSDT,61438.09,-0.0013020835452538884,good to buy
BINANCE:BTCUSDT,61436.08,-0.0017903881870933206,good to buy
BINANCE:BTCUSDT,61434.53,-0.0032715860795717467,good to buy
BINANCE:BTCUSDT,61433.91,-0.002522947427640094,good to buy
BINANCE:BTCUSDT,61433.91,-0.0010092044327438387,good to buy
BINANCE:BTCUSDT,61433.91,0,good to buy
BINANCE:BTCUSDT,61433.91,0,good to buy
BINANCE:BTCUSDT,61433.91,0,good to buy
BINANCE:BTCUSDT,61433.92,0,good to buy
BINANCE:BTCUSDT,61433.92,0.000016277655117119048,good to buy
BINANCE:BTCUSDT,61433.92,0,good to buy
BINANCE:BTCUSDT,61433.92,0,good to buy
BINANCE:BTCUSDT,61433.92,0,good to buy
BINANCE:BTCUSDT,61433.91,0,good to buy
BINANCE:BTCUSDT,61433.92,-0.000016277652467498917,good to buy
BINANCE:BTCUSDT,61433.92,0.000016277655117119048,good to buy
BINANCE:BTCUSDT,61433.92,0,good to buy
BINANCE:BTCUSDT,61433.92,0,good to buy
BINANCE:BTCUSDT,61433.91,0,good to buy
BINANCE:BTCUSDT,61433.91,-0.000016277652467498917,good to buy
BINANCE:BTCUSDT,61432.24,0,good to buy
BINANCE:BTCUSDT,61430.6,-0.0027183684059919506,good to buy
BINANCE:BTCUSDT,61429.52,-0.002669608010385781,good to buy
BINANCE:BTCUSDT,61422.75,-0.0017580814773121964,good to buy
BINANCE:BTCUSDT,61421.1,-0.011020760051513994,good to buy
BINANCE:BTCUSDT,61427.09,-0.002686301085512217,good to buy
BINANCE:BTCUSDT,61424.99,0.00975234894848507,good to buy
BINANCE:BTCUSDT,61424.92,-0.0034186870971725097,good to buy
BINANCE:BTCUSDT,61420.27,-0.00011396013251236828,good to buy
BINANCE:BTCUSDT,61419.35,-0.00757021742967098,good to buy
BINANCE:BTCUSDT,61419.35,-0.0014978768409814119,good to buy
BINANCE:BTCUSDT,61419.34,0,good to buy
BINANCE:BTCUSDT,61419.35,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.35,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61419.35,0,good to buy
BINANCE:BTCUSDT,61419.35,0,good to buy
BINANCE:BTCUSDT,61419.34,0,good to buy
BINANCE:BTCUSDT,61419.35,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.35,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61419.34,0,good to buy
BINANCE:BTCUSDT,61419.35,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.34,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61419.35,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.35,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61419.34,0,good to buy
BINANCE:BTCUSDT,61419.35,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.34,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61419.35,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.34,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61419.34,-0.000016281513891041288,good to buy
BINANCE:BTCUSDT,61419.35,0,good to buy
BINANCE:BTCUSDT,61419.35,0.000016281516541918666,good to buy
BINANCE:BTCUSDT,61420.89,0,good to buy
BINANCE:BTCUSDT,61421.82,0.002507353138710965,good to buy
BINANCE:BTCUSDT,61423,0.001514142826651146,good to buy
BINANCE:BTCUSDT,61424.42,0.0019211413793995213,good to buy
BINANCE:BTCUSDT,61424.61,0.002311837585266519,good to buy
BINANCE:BTCUSDT,61426.47,0.0003093232300806883,good to buy
BINANCE:BTCUSDT,61428.65,0.0030281022541300334,good to buy
BINANCE:BTCUSDT,61428.85,0.003548958616701059,good to buy
BINANCE:BTCUSDT,61428.84,0.0003255809789033124,good to buy
BINANCE:BTCUSDT,61428.85,-0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.84,0.000016278998597462152,good to buy
BINANCE:BTCUSDT,61428.85,-0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.85,0.000016278998597462152,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.84,0,good to buy
BINANCE:BTCUSDT,61428.85,-0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.84,0.000016278998597462152,good to buy
BINANCE:BTCUSDT,61428.84,-0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.84,0,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.85,0.000016278998597462152,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.85,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.85,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.85,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.86,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.85,-0.00001627899329734797,good to buy
BINANCE:BTCUSDT,61428.85,0,good to buy
BINANCE:BTCUSDT,61428.86,0,good to buy
BINANCE:BTCUSDT,61428.86,0.000016278995947404628,good to buy
BINANCE:BTCUSDT,61428.91,0,good to buy
BINANCE:BTCUSDT,61431.12,0.00008139496647489533,good to buy
BINANCE:BTCUSDT,61433.29,0.003597654589669794,good to buy
BINANCE:BTCUSDT,61435.46,0.0035324115855257946,good to buy
BINANCE:BTCUSDT,61436.99,0.0035322868106172625,good to buy
BINANCE:BTCUSDT,61439.15,0.0024904184000556612,good to buy
BINANCE:BTCUSDT,61440.03,0.0035157972420255166,good to buy
BINANCE:BTCUSDT,61441.04,0.0014323114821695624,good to buy
BINANCE:BTCUSDT,61441.97,0.0016438794056611583,good to buy
BINANCE:BTCUSDT,61443.12,0.0015136462533842055,good to buy
BINANCE:BTCUSDT,61444.08,0.0018716847783387402,good to buy
BINANCE:BTCUSDT,61444.69,0.0015624206583245233,good to buy
BINANCE:BTCUSDT,61444.7,0.0009927726153611252,good to buy
BINANCE:BTCUSDT,61444.69,0.000016274799327267028,good to buy
BINANCE:BTCUSDT,61444.69,-0.000016274796678576527,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
BINANCE:BTCUSDT,61444.69,0,good to buy
